date,keyword,impressions,clicks,ctr,average_position
2024-04-12,saas software,4769,214,8.843096341052327,4.705797694358845
2024-06-28,project management software,1574,471,7.691491755636172,3.8863862030051086
2024-04-02,saas software,2148,388,0.9455164440165893,1.1923785758563508
2024-01-15,saas software,7293,185,3.0523885792404197,4.126057927005659
2024-04-16,b2b solutions,7457,414,0.7107550492878655,4.311763548709967
2024-03-12,project management software,8509,370,5.232569273135983,4.002007699061254
2024-01-21,project management software,5777,391,5.0240016194956345,4.1981485236780625
2024-04-12,b2b solutions,4854,194,8.398029155593761,4.300530706771189
2024-05-01,crm tools,3491,376,3.4238837778249698,1.7456199471525764
2024-03-15,saas software,4124,266,8.255664484524093,1.942766984259999
2024-03-28,cloud services,6691,350,9.69575077167832,3.535034254880709
2024-04-26,saas software,4051,181,1.3398781219736424,4.631464521850064
2024-04-09,saas software,1004,341,8.022269474961512,2.2647863291859784
2024-04-13,crm tools,6222,119,6.104581022807543,3.3532267031802268
2024-05-31,saas software,6315,301,5.060436686675514,3.7319282536685296
2024-05-10,b2b solutions,5869,464,4.495089897318213,2.807794405196157
2024-05-29,b2b solutions,1876,324,7.95434850747094,3.855129819421304
2024-02-22,project management software,8027,494,6.573932891255303,4.5986697811686925
2024-01-02,cloud services,5142,413,8.147924341433939,3.4964061767273504
2024-03-28,saas software,7966,231,9.07993505742795,3.159124247658532
2024-06-06,saas software,8079,216,6.364005264924274,2.7549787015533562
2024-02-07,crm tools,8987,140,9.81439588837759,3.309945083624503
2024-05-09,b2b solutions,7799,251,6.276834570647909,2.4214498072735835
2024-01-21,cloud services,5465,395,6.548121055411684,2.5659284408060077
2024-06-09,project management software,1635,68,5.7707482811511435,3.127429918752696
2024-02-27,b2b solutions,2693,88,1.3645198649876376,1.2664764495632679
2024-01-22,project management software,5752,175,7.400771810177169,1.9161015636991854
2024-03-29,crm tools,9311,222,5.7007399155415595,3.1713972424536356
2024-02-18,crm tools,1830,190,4.783649250452992,2.7261125725457704
2024-02-28,saas software,6177,291,9.149477144831094,2.331263143649937
2024-06-18,cloud services,9932,269,3.3306147896485294,3.922196547237206
2024-01-15,project management software,9308,175,5.474221622142606,3.7748704296133537
2024-06-23,b2b solutions,6949,107,7.1275977791879015,1.6669230399735326
2024-02-20,crm tools,3838,197,8.066481868901835,4.514516461493753
2024-04-17,saas software,2150,366,4.863794675488638,2.9816945056158626
2024-02-24,saas software,8560,432,8.49986844267774,3.9658436445561818
2024-03-04,project management software,2931,410,7.804718542496276,3.2926033970295547
2024-05-10,crm tools,2664,472,1.1292417895927256,4.990770463695373
2024-02-20,cloud services,2081,50,0.935682030844013,4.00961248015529
2024-05-14,crm tools,1512,436,6.397654002009867,3.827921844973836
2024-01-21,project management software,8805,397,3.800427378141435,4.114287756203004
2024-03-13,project management software,6237,239,2.4867425152458846,1.5725119421938785
2024-06-15,crm tools,1559,240,6.006674377481515,1.818178372677853
2024-01-18,project management software,4672,418,3.744850499337178,3.8562563288944567
2024-05-11,crm tools,8404,458,5.604002458783666,2.9759259485234506
2024-03-29,b2b solutions,4343,361,4.871132010343934,4.018541167440466
2024-02-29,crm tools,5070,466,6.05527800651696,1.41166412297658
2024-01-14,crm tools,1580,471,4.302854644647673,3.145925405938379
2024-01-09,project management software,8004,166,7.127841950120851,2.515286262227663
2024-03-30,project management software,9130,183,2.210639087318336,2.8280008771267133
2024-02-22,saas software,4147,107,7.11676392915725,3.41583148829005
2024-05-09,saas software,5249,93,4.410781536396517,3.0091533898501206
2024-03-24,b2b solutions,2679,222,8.806017246116962,3.159442548451347
2024-04-01,saas software,4506,209,5.394742521210003,2.945429927982431
2024-04-20,crm tools,8253,222,9.744548318065991,2.635820708341973
2024-06-20,project management software,3744,366,6.218386257639122,4.08752792239298
2024-01-08,saas software,6188,352,2.6265661261100455,1.048812289272178
2024-06-23,saas software,3141,198,8.307011050022268,3.393770804820908
2024-02-04,b2b solutions,7617,129,3.778284964312674,3.2620333892918953
2024-03-21,b2b solutions,3479,423,3.802382537585493,3.8647162989318087
2024-06-12,crm tools,7484,262,0.8021444741090688,3.396117459109306
2024-02-19,project management software,8421,252,5.7127954374703815,4.307195311236313
2024-04-13,b2b solutions,5452,301,5.577023285458969,4.836299178256111
2024-05-11,saas software,6881,278,3.8819191005838682,2.3700970287141736
2024-01-02,project management software,7665,213,8.995063997511295,1.909403932119948
2024-05-13,project management software,3849,276,1.7231097838466172,2.6943874496819316
2024-02-23,saas software,8390,196,3.635945376446476,2.1517184659029045
2024-04-15,b2b solutions,7905,69,3.5550362644602753,3.4598010526106178
2024-01-04,saas software,3489,490,1.3767605691730878,4.647409635371859
2024-02-23,project management software,5611,451,5.070881243534785,1.5564647765722475
2024-05-25,cloud services,3839,96,7.033954812412789,1.403178412063546
2024-02-13,cloud services,9527,282,5.360741628698982,2.024062127414649
2024-06-10,crm tools,6878,354,1.9912879858038404,3.904382344249603
2024-01-14,saas software,7303,63,4.084216669799689,3.3718516210352862
2024-04-04,saas software,1851,192,0.5246527316446423,1.4088506569007984
2024-02-17,crm tools,2687,464,8.748860516838075,4.6750020890429855
2024-01-15,crm tools,7833,50,1.3029115729664784,4.160338548496346
2024-02-09,crm tools,3427,422,6.174141781426591,1.09209041915055
2024-03-22,project management software,5000,103,9.869441460734745,3.6054688439529845
2024-04-20,saas software,6052,423,5.597611136879659,4.0849866740789516
2024-02-22,project management software,3738,308,9.278396711520616,2.497741478881688
2024-01-24,crm tools,6732,193,2.7431070646153413,1.2756861574688751
2024-06-02,saas software,6387,490,7.7195763849070635,1.309284261955149
2024-05-03,project management software,9002,61,5.547024662748574,1.416987864207238
2024-02-10,project management software,6536,379,7.344902583218916,4.361758527921692
2024-06-05,crm tools,4913,273,1.0922429438567938,4.642744793022852
2024-01-15,saas software,2066,321,1.9035213731091536,1.4912431273829352
2024-02-14,crm tools,8723,407,1.7646108215810434,1.9436241383803248
2024-03-05,saas software,5380,457,7.028072301331646,1.662082041469159
2024-03-29,cloud services,5107,205,8.522186390019474,1.7452835179764827
2024-03-11,b2b solutions,6726,422,7.62135420408158,4.349963156009968
2024-01-09,b2b solutions,4373,57,0.7894854509691445,2.3285856506197558
2024-03-28,b2b solutions,9945,171,8.738542320209872,2.2457770561825647
2024-05-08,crm tools,3082,397,3.8643933725346917,1.9095824835084505
2024-05-15,cloud services,9967,213,4.273056408788784,3.4315775751770348
2024-03-03,saas software,7748,139,1.4962570820585686,2.5172227935421954
2024-05-18,project management software,1417,185,7.505349457891281,3.9769986073731554
2024-03-21,saas software,9306,235,2.2316968455216015,1.82231923350255
2024-05-15,project management software,9808,365,5.857668374178946,4.151159554857969
2024-06-11,saas software,4974,227,8.486744865840347,3.414886126920556
2024-06-11,cloud services,4267,77,1.3474411227645338,1.457069200222751
2024-02-02,project management software,1825,269,5.585687858147473,2.6580183368145107
2024-05-02,crm tools,8668,406,2.7155559097231117,4.454072562451827
2024-01-05,saas software,6745,90,3.7578052106434723,4.691840927193939
2024-02-10,saas software,1412,277,5.002714443590284,2.8628004892752528
2024-01-28,project management software,8543,241,3.873490881153395,2.923347912356294
2024-05-14,crm tools,8587,460,6.663816982769972,4.6738188997572045
2024-03-12,crm tools,1728,496,5.056029966665377,3.348272896546269
2024-01-12,cloud services,8164,194,6.049895104784608,1.1313866809737534
2024-06-10,crm tools,9867,250,7.499813516251672,4.650997851516515
2024-02-02,crm tools,6988,466,5.798551526529155,1.9929057710286076
2024-02-17,crm tools,3504,261,6.072086629277211,3.310527816366189
2024-05-30,b2b solutions,3967,269,5.862356153965092,1.6620532697118953
2024-03-02,cloud services,3786,289,4.098339946537249,1.13551664098638
2024-02-06,saas software,2122,462,3.705744921783222,2.2458926845310296
2024-04-08,project management software,5079,446,9.046650272877617,4.121982830184351
2024-06-20,saas software,2571,95,6.271774611788942,2.1103486905176725
2024-04-13,cloud services,6073,84,2.821354976914218,1.8803888563243882
2024-02-04,project management software,6104,302,5.233353129564931,1.8507231373649051
2024-04-10,cloud services,3143,439,3.638310572168683,3.0606947296272504
2024-06-23,crm tools,7806,131,9.370072325718809,4.902165262731025
2024-05-10,project management software,8357,420,0.57157644977371,2.835955952068052
2024-01-01,crm tools,4440,305,2.640661578269018,3.2292214755601916
2024-01-05,saas software,4766,246,3.9708897869035478,4.442528071562936
2024-05-21,saas software,6644,352,5.134193107683011,3.1402788757346345
2024-04-12,project management software,3914,458,8.58276641944339,1.7378514856754244
2024-01-27,project management software,5968,499,1.3349324331313668,2.198383647065908
2024-05-16,cloud services,6917,59,8.155716424040863,2.2397477050744437
2024-01-15,cloud services,9787,361,1.0287081488912657,2.5892724618303915
2024-03-30,crm tools,1728,335,8.501983335332726,2.7071556213469976
2024-02-11,project management software,2365,291,0.9905370398078719,4.199128088297078
2024-05-03,saas software,5492,300,0.6733035735694299,2.397547996197332
2024-06-27,cloud services,1698,414,7.121133892481005,2.8729273137655174
2024-03-03,cloud services,8186,54,9.973927580299746,3.499903948204209
2024-04-05,saas software,1395,168,9.017797498253197,2.510903789760677
2024-02-21,cloud services,8400,338,5.97198496915377,4.346259253169332
2024-04-05,crm tools,9082,423,9.21525832431255,3.3498144169362973
2024-05-11,project management software,5171,114,0.5503500607772515,2.176178716883886
2024-05-30,saas software,5360,195,9.763138047978854,3.856236799159313
2024-05-22,project management software,3502,273,5.162113402958452,3.1105909205791433
2024-06-19,cloud services,1717,288,7.367512917906869,3.1378235650289876
2024-01-29,cloud services,3782,226,8.29818399495685,2.924351793550344
2024-02-05,saas software,5946,316,7.325344072947259,2.988047795284996
2024-01-13,crm tools,6486,390,5.58284895442665,4.061425124264963
2024-06-08,b2b solutions,9335,331,5.027885099200914,1.411925917325262
2024-03-11,saas software,5980,112,8.466534307674936,2.3374512452419287
2024-03-26,b2b solutions,8266,266,2.4482368214198615,1.302013455215557
2024-01-28,b2b solutions,5491,391,9.695943631790225,4.012984882989803
2024-03-06,crm tools,8192,364,7.254048548949108,2.0892074188811978
2024-06-18,b2b solutions,6588,332,2.3953158097140377,4.5897216392755364
2024-02-14,b2b solutions,8651,226,7.494348245135638,3.106313866637175
2024-03-02,crm tools,4636,466,5.533480220220609,4.202999085944484
2024-05-13,b2b solutions,2167,147,7.218685908622223,4.915725742463845
2024-01-28,b2b solutions,2062,154,7.793905263706969,4.359155437826282
2024-01-28,b2b solutions,3156,148,1.3292567061019167,4.467975040046094
2024-04-17,saas software,8860,434,5.307987585413796,2.631937981459379
2024-02-13,saas software,6161,454,9.354136251440874,3.206890381037359
2024-03-24,saas software,6305,360,3.546100825515386,2.015554256173217
2024-01-30,crm tools,7541,55,6.141889426800039,1.7844523987738112
2024-03-15,cloud services,5729,246,4.007689574344013,3.022031516424135
2024-05-07,b2b solutions,8330,400,4.815545736081447,3.3801959188016824
2024-04-01,b2b solutions,6334,182,5.711729620412456,2.357084983584764
2024-05-08,crm tools,9924,407,5.714758808945284,3.2777740710540013
2024-04-30,b2b solutions,5330,308,2.4164393921372405,4.549841930054011
2024-01-27,saas software,9010,486,7.003429704858417,3.2268863391334643
2024-04-30,cloud services,7801,72,1.3347470568052398,3.8832523852420264
2024-04-25,project management software,5846,102,1.8188353476991936,4.22125986943162
2024-01-03,b2b solutions,7731,214,0.5257535444361319,4.954915127821771
2024-04-12,saas software,8241,251,1.6086126093459725,3.4127896087079184
2024-06-03,project management software,1953,132,4.995078909992976,4.2274005958503444
2024-05-16,cloud services,3539,194,6.257967870030467,4.850597274219499
2024-03-02,project management software,8056,134,8.045749774681394,4.777638902309094
2024-06-13,saas software,2542,127,1.5136428760776426,1.5643273951108543
2024-02-20,project management software,6293,415,8.58191087015632,2.625569233094088
2024-06-20,crm tools,2191,50,7.586757992712823,2.2959602444271985
2024-05-31,project management software,7313,100,4.380923782891211,1.3477000598013973
2024-02-28,b2b solutions,7938,222,9.36291163744957,3.532963099643842
2024-04-27,b2b solutions,3681,254,9.913830026345211,3.9436184527840092
2024-06-08,crm tools,2540,309,2.447517195505754,4.392512381867534
2024-04-05,saas software,7172,495,4.102671557156103,1.491107558650834
